Classes,Definition,Questions
DESCRIPTION,reason,What was the reason for the partition of the Anglican and Vatican churches ?
DESCRIPTION,definition,What is Butterfield 8 in Butterfield 8 ?
HUMAN,ind,Who famously rode to warn the people of Massachusetts that the British were coming ?
ABBREVIATION,exp,What is DTMF ?
ENTITY,creative,"Name a movie that the actress , Sandra Bullock , had a role in ."
ENTITY,other entity,"What blew up at Lakehurst , New Jersey , on May 6 , 1977 ?"
HUMAN,ind,Who commanded the French forces at the Battle of Orleans ?
LOCATION,other loc,Where can an individual get a contact lens tested that burned the entire surface of eye when new ?
LOCATION,country,What countries does the Mont Blanc Tunnel join ?
ENTITY,vehicle,What ill-fated craft was captained by Ernst Lehmann ?
NUMERIC,date,When did Amtrak begin operations ?
NUMERIC,count,How many bones are in the human hand ?
NUMERIC,count,How many chemical elements are there ?
LOCATION,state,What eastern state sprouted the first commercial nuclear power plant in the U.S. ?
LOCATION,country,What are the three most populated countries in the world ?
HUMAN,ind,Who led the opposition when Konrad Adenauer was Chancellor in Germany ?
NUMERIC,count,"What is the current population for these countries : France , Spain , Italy , Greece , Austria , Germany , Switzerland , the Netherlands ?"
NUMERIC,period,What is the youngest age a boy or girl can have an orgasm ?
ENTITY,color,What color is the lipstick on Boy George 's wax lips at London 's Madame Tussaud 's ?
DESCRIPTION,description of st,What is the origin of the candy cane at Christmas ?
ENTITY,product,What is the brand name of a chemical used to control ripening ?
ENTITY,animal,What terror of the sea did Johnny Horton sing about ?
LOCATION,other loc,What is the largest office block in the world ?
HUMAN,ind,Who turned all he touched to gold ?
ENTITY,dismed,What is the medical term for cancer of the blood ?
HUMAN,ind,Who plays shortstop for Charlie Brown 's baseball team ?
LOCATION,country,What country did the Romans call Hibernia ?
HUMAN,ind,Who was the most famous food editor of The New York Times ?
NUMERIC,count,How many dogs pull a sled in the Iditarod ?
ENTITY,term,What 's a male witch called ?
NUMERIC,period,How long does cocaine stay in your system ?
LOCATION,country,What two countries fought the Hundred Years ' War ?
HUMAN,ind,Who was the last U.S. president to reinstate Selective Service registration ?
NUMERIC,date,"On which dates does the running of the bulls occur in Pamplona , Spain ?"
HUMAN,ind,What was the name of the lawyer who represented Randy Steven Craft ?
DESCRIPTION,description of st,What happens to used motor oil ?
ENTITY,word,What is the most commonly used 1 letter word in the English language ?
HUMAN,ind,What actress 's autobiography is titled Shelley : Also Known as Shirley ?
NUMERIC,count,How many colors was the 1940s collectible called a Donald Duck Rubber Boat ?
DESCRIPTION,manner,How did the 7th inning stretch get started ?
HUMAN,ind,Who lived on the shores of the Gitchee Gumee River ?
ENTITY,other entity,What did Tristan come back as ?
LOCATION,country,What country will hit the year 2 first ?
ENTITY,color,What colors make up a rainbow ?
ENTITY,event,What war did Johnny Reb and Billy Yank fight ?
HUMAN,ind,Who is section manager for guidance and control systems at JPL ?
HUMAN,ind,What is Goldfinger 's first name ?
LOCATION,other loc,What square is the geographical center of London ?
HUMAN,ind,Which of the following famous people does not paint as a hobby ?
LOCATION,city,What is the most populated city in the world ?
NUMERIC,count,How many pitchers occupy the shelf beside the crouching woman in Edgar Degas 's 1886 painting The Tub ?
NUMERIC,money,What is the cost of the drugs used in tuberculosis treatments ?
ABBREVIATION,exp,What does JESSICA mean ?
ENTITY,event,What famed gangland slaughter cut into the membership of Bugs Moran 's outfit ?
ENTITY,instru,Ray Charles is best known for playing what instrument ?
LOCATION,other loc,Where did Victor Hugo spend his exile ?
DESCRIPTION,description of st,"What was Nine Tailors , the television show from 1974 , about ?"
DESCRIPTION,manner,How does the Elongated Man know a mystery is afoot ?
ENTITY,food,What food of the three bears did Goldilocks eat ?
DESCRIPTION,definition,What is Boston Kreme ?
HUMAN,ind,Who should I call to get a tour of the New York Stock Exchange ?
NUMERIC,count,How many airline schools are there in the U.S. ?
HUMAN,ind,"What U.S. general died December 1 , 1945 , when his jeep collided with a truck ?"
DESCRIPTION,definition,What is a swatch ?
DESCRIPTION,definition,What does Ouija mean ?
NUMERIC,count,How many major Nazi leaders went on trial after the war at Nuremberg ?
ENTITY,animal,What kind of fish is a coney ?
LOCATION,state,What state did Helen Keller call home ?
HUMAN,ind,What was the name of the director of the movie `` Jaws '' ?
DESCRIPTION,description of st,What steps can be taken to prevent diabetes ?
DESCRIPTION,description of st,What were the first words spoken on a film sound track ?
NUMERIC,date,What year is etched on the Gold Medal of Excellence from the Paris Exposition depicted on a can of Campbell 's tomato soup ?
LOCATION,country,What country 's royal house is Bourbon-Parma ?
ENTITY,creative,What film was Jude Law in ?
HUMAN,ind,Who portrayed W.C. Fields in the film W.C. Fields and Me ?
ENTITY,other entity,What were the ceremony traditions like during the Elizabethian times ?
HUMAN,group,Which college did Dikembe Mutombo play basketball at ?
ENTITY,dismed,What is a fear of going to bed ?
DESCRIPTION,description of st,Where did the saying `` rule of thumb '' come from ?
DESCRIPTION,reason,Why does sound travel quicker through water than air ?
NUMERIC,money,How much money does the Sultan of Brunei have ?
LOCATION,country,What country would you visit to ski in the Dolomites ?
NUMERIC,date,What month 's third weekend is the Monterey Jazz Festival held on ?
DESCRIPTION,definition,What is the `` Global Economy '' ?
HUMAN,ind,Who built the first successful stern wheel steamboat ?
DESCRIPTION,definition,What is a caul ?
HUMAN,ind,Who was Hitler 's minister of propaganda ?
HUMAN,ind,Who was the first doctor to successfully transplant a liver ?
DESCRIPTION,definition,What does the theory of quantum leaps mean in simpler terms ?
DESCRIPTION,definition,What is a bone marrow transplant ?
DESCRIPTION,description of st,What is the difference between a classical and an acoustic guitar ?
LOCATION,city,What African capital is named for a U.S. president ?
ENTITY,lang,What is the name of a language spoken by the Sioux ?
LOCATION,other loc,What Mediterranean island is home to the first Club Med ?
ENTITY,other entity,What does an edentulous smile lack ?
ENTITY,dismed,What is a fear of jealousy ?
LOCATION,other loc,Where can you find the Venus flytrap ?
ENTITY,creative,What is the largest sculpture in the world ?
NUMERIC,date,When was John D. Rockefeller born ?
LOCATION,other loc,What building built in 18 contains 327 miles of book shelves ?
DESCRIPTION,definition,What is home banking ?
ENTITY,creative,What William Makepeace Thackeray novel was made into a film by Stanley Kubrick ?
HUMAN,ind,Who was the lawyer for Randy Steven Craft ?
DESCRIPTION,manner,How do hermit crabs reproduce ?
HUMAN,ind,Who is reputed to be the greatest maker of violins ?
DESCRIPTION,manner,How do you stop junk snail mail ?
HUMAN,ind,What future Soviet dictator was training to be a priest when he got turned on to Marxism ?
NUMERIC,period,How long does James Bond like his eggs boiled ?
LOCATION,city,What U.S. city 's skyline boasts the Gateway Arch ?
LOCATION,other loc,Where is Belize located ?
ENTITY,term,What 's the common name for a Japanese dwarf tree ?
ENTITY,creative,What did Thomas Paine write ?
HUMAN,ind,Who sued the Dannon yougurt company for using a character named Ron Raider for promotion ?
HUMAN,ind,Who was the first jockey to ride two Triple Crown winners ?
ENTITY,creative,What Lewis Carroll book introduced Humpty Dumpty to the world ?
HUMAN,ind,Who wrote Brave New World ?
LOCATION,state,What state does Charles Robb represent ?
DESCRIPTION,definition,What is hydroelectricity ?
NUMERIC,count,How many people are taller than 7 feet ?
HUMAN,ind,Who wrote Unsafe at Any Speed ?
NUMERIC,count,How many islands make up Antigua ?
DESCRIPTION,manner,How does an abacus work ?
DESCRIPTION,reason,What causes rust ?
ENTITY,dismed,What is the fear of the computer called ?
ENTITY,techmeth,What is a technique popularly used to detect birth defects ?
LOCATION,state,"What U.S. state boasts Stone Mountain , the world 's largest mass of exposed granite ?"
HUMAN,ind,What British commander surrendered to George Washington at Yorktown in 1781 ?
DESCRIPTION,description of st,"What according to the Kinsey Institute , is the sexual preference of four percent of American males ?"
HUMAN,ind,"Who created the World Wide Web , WWW ?"
ENTITY,techmeth,What is the procedure called for drilling a hole in your skull to acheive a higher consciousness ?
HUMAN,ind,What is the name of the president of Garmat U.S.A ?
ENTITY,creative,"What was the name of the television show , starring Karl Madsen , that had San Francisco in the title ?"
HUMAN,ind,Who were leaders of the Byzantine empire ?
HUMAN,ind,Who was the first President to appoint a woman to head a cabinet ?
DESCRIPTION,definition,What is splatterpunk ?
DESCRIPTION,description of st,What is the orgin of xoxoxox ?
HUMAN,group,Who built the first pyramid ?
LOCATION,country,What southeast Asian country has the Wang River joining the Ping River at Tak ?
LOCATION,city,"What Italian city of 155 were Leonardo da Vinci , Michaelangelo , and Machiavelli all working in ?"
ENTITY,color,What color tennis balls are used at Wimbledon ?
ENTITY,term,What is a 2-sided object called ?
HUMAN,group,Name a French fascist party .
ENTITY,event,Name the French historical period during the reign of Napoleon III .
ENTITY,creative,What movie has made the most money ?
DESCRIPTION,definition,What is time ?
NUMERIC,count,How many states have a lottery ?
LOCATION,city,"What is the name of the largest city in Chile , South America ?"
ENTITY,other entity,What are you caught in if a haboob blows up ?
NUMERIC,perc,What ratio of children of ages between two and eleven watch ` The Simpsons ' ?
NUMERIC,count,How many cities are there in Utah ?
HUMAN,group,What famous meat company went out of business because it became known that the underworld had been selling them kangaroo meat ?
NUMERIC,count,How many visitors go to the Vatican each year ?
NUMERIC,other num,What is the population of Mexico ?
DESCRIPTION,manner,How do you get silly putty out of fabric ?
LOCATION,other loc,What is the best online games site ?
DESCRIPTION,reason,Why is the word `` abbreviation '' so long ?
NUMERIC,date,What century did art 's Romantic Period begin in ?
NUMERIC,count,How many spaces follow a period at the end of a sentence ?
DESCRIPTION,definition,What is a cake of soap ?
NUMERIC,date,In what year was the Berlin Wall erected ?
NUMERIC,weight,What is the weight of a teaspoon of matter in a black hole ?
NUMERIC,weight,What is the approximate weight of a teaspoon of matter in a black hole ?
ABBREVIATION,exp,What does MSG stand for ?
LOCATION,other loc,On what avenue is the original Saks department store located ?
LOCATION,other loc,Where does the song Anything Goes take place ?
LOCATION,other loc,Where was the first zoo in the U.S. ?
NUMERIC,distance,How far is Yaroslavl from Moscow ?
ENTITY,other entity,What is April 's gemstone ?
HUMAN,ind,What is the present Pope named ?
HUMAN,ind,Who is the nebbish that is Marvel 's official mascot ?
ENTITY,food,What powdered soft drink mix went into space ?
ENTITY,other entity,What did the Chinese emperor present to the English soldier Gordon in recognition of his services in quelling rebellions ?
ENTITY,lang,What is one of the languages spoken by the Sioux called ?
NUMERIC,count,How many bytes are in a terabyte ?
HUMAN,ind,Who sang the song `` Hooked on a Feeling '' in the dancing baby episode of `` Ally Mcbeal '' ?
ENTITY,techmeth,In what ways did Ivan IV support Russian expansion ?
NUMERIC,weight,Approximately how much does a teaspoon of matter weigh in a black hole ?
LOCATION,country,What country 's flag is field green ?
ENTITY,sport,What sport is known for hooligans ?
HUMAN,ind,"Who was the Columbia Pictures head who forged actor Cliff Robertson 's name on a $1 , 000 check ?"
HUMAN,description human,Who was Damocles ?
ENTITY,sport,What sport was the first televised in the U.S. ?
HUMAN,ind,Name Dondi 's adoptive grandfather .
NUMERIC,date,When was the Congress of Vienna ?
